id,name,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,close_approach_date,velocity_km_s,miss_distance_km
3459797,(2009 JM2),19.35,0.3585543342,0.8017518649,2024-01-24,19.8565606068,61504800.649033361
3597098,(2012 BE124),19.35,0.3585543342,0.8017518649,2024-01-24,39.7261610127,39194790.161569596
3704075,(2014 YP44),26.1,0.0160160338,0.0358129403,2024-01-24,8.9812538398,24152404.657381193
3736807,(2015 YA),27.4,0.0088014652,0.0196806745,2024-01-24,6.8863788942,35927976.415501152
3738971,(2015 YE2),25.22,0.024019003,0.0537081235,2024-01-24,6.908309,29985059.86920102
3739078,(2015 YM10),19.83,0.2874451443,0.6427468824,2024-01-24,32.588083659,41481353.018617465
3893720,(2019 WP4),24.41,0.0348782733,0.0779901901,2024-01-24,10.6357529061,74365305.258414254
54054332,(2020 RA7),27.0,0.0105816886,0.023661375,2024-01-24,12.8686577521,32846662.143299546
54106085,(2021 BC),24.3,0.0366906138,0.0820427065,2024-01-24,16.6099853333,23770828.616645972
54282205,(2022 LK1),23.18,0.0614546821,0.1374168468,2024-01-24,17.4011431804,64555448.135793891
54314207,(2022 TX1),23.66,0.0492668706,0.1101640716,2024-01-24,11.0901549115,23299528.889731905
54341459,(2023 CY),26.33,0.0144063837,0.0322136532,2024-01-24,10.0964095701,54016655.659639475
54412464,(2023 XM),20.92,0.1740022951,0.38908096,2024-01-24,15.942405654,43865086.09501917
54421652,(2024 AL6),25.67,0.0195233786,0.0436556017,2024-01-24,27.0221757947,2088880.057849296
54421396,(2024 BN1),26.0,0.0167708462,0.0375007522,2024-01-24,7.1102043437,13535870.282129202
54423049,(2024 BQ3),26.73,0.011982708,0.0267941497,2024-01-24,8.6572863574,1837874.429310266
54423054,(2024 BW3),25.36,0.0225193047,0.050354696,2024-01-24,5.3852335069,15818431.755189459
54423055,(2024 BY3),24.0,0.0421264611,0.0941976306,2024-01-24,2.4464355145,41861228.580364396
54423145,(2024 BN4),24.27,0.037201031,0.0831840342,2024-01-24,9.4260720862,16492510.542180667
54426228,(2024 CV2),22.59,0.0806408277,0.1803183724,2024-01-24,16.605114647,28784248.597596808
2524391,524391 (2002 AD2),20.6,0.2016299194,0.4508582062,2024-01-23,19.7453369715,45129680.916782311
3172327,(2004 BH11),23.95,0.0431077124,0.0963917753,2024-01-23,4.9111111526,47266712.250485525
3709250,(2015 BY512),21.49,0.1338304618,0.2992540101,2024-01-23,17.7002034484,46887872.534310048
3795107,(2017 YL6),22.69,0.0770113926,0.1722027088,2024-01-23,16.3504906723,33008101.986211515
3843536,(2019 PM2),21.79,0.1165614595,0.2606393469,2024-01-23,21.2987061444,73075824.142826411
3989188,(2020 BJ8),24.14,0.0394961694,0.0883161196,2024-01-23,17.1500189971,33661907.643854998
54051346,(2020 QR4),24.4,0.0350392641,0.0783501764,2024-01-23,18.2142104277,62709632.872026581
54107794,(2021 BL3),24.71,0.0303777061,0.0679266159,2024-01-23,23.3944898319,6597084.874059856
54239783,(2022 BS),23.93,0.0435065831,0.0972836774,2024-01-23,22.0437561697,23794004.498183816
54246385,(2022 CZ4),23.97,0.0427124985,0.0955080501,2024-01-23,2.2576064691,55395799.036520742
54265620,(2022 FH1),24.14,0.0394961694,0.0883161196,2024-01-23,3.6768109966,69868835.108563512
54349273,(2023 EY2),19.75,0.2982325052,0.6668681546,2024-01-23,25.033997837,66049996.306162016
54375585,(2023 OS),24.34,0.0360209346,0.0805452583,2024-01-23,11.6418710275,49179660.052088306
54404083,(2023 VO5),21.27,0.1480999721,0.331161605,2024-01-23,12.3315107175,39007744.892912048
54416963,(2023 XV14),22.86,0.0712122941,0.1592355304,2024-01-23,1.5529930118,25240109.811489606
54417552,(2023 YL),21.08,0.1616422833,0.3614431336,2024-01-23,19.1271267185,35143304.740270358
54421079,(2024 BN),25.22,0.024019003,0.0537081235,2024-01-23,12.8652064308,9463444.27066566
54421386,(2024 BA1),27.0,0.0105816886,0.023661375,2024-01-23,6.3766626216,3271794.607150094
54423053,(2024 BV3),26.79,0.0116561459,0.0260639347,2024-01-23,12.8236104131,3436066.666856477
54423136,(2024 BZ3),27.8,0.0073207399,0.016369672,2024-01-23,5.7060365924,938167.392532579
54423783,(2024 CJ),25.2,0.0242412481,0.0542050786,2024-01-23,6.4168589788,3605748.903611836
54423946,(2024 CC1),24.43,0.0345585074,0.0772751717,2024-01-23,3.0934752395,19105860.207422199
54439420,(2024 JQ),25.19,0.0243531406,0.0544552779,2024-01-23,4.3610886741,28725786.393271649
2163693,163693 Atira (2003 CP20),16.41,1.3885290704,3.1048453901,2024-01-26,17.3727597981,33600363.543890395
3471216,(2009 TQ),25.9,0.0175612318,0.0392681082,2024-01-26,13.4497446981,55021576.853080046
3556206,(2011 CQ1),32.1,0.0010105434,0.0022596438,2024-01-26,4.6248127278,4328877.107189081
3596262,(2012 BX34),27.6,0.0080270317,0.0179489885,2024-01-26,18.5018325092,44118483.509263547
3673977,(2014 MA18),25.5,0.0211132445,0.0472106499,2024-01-26,13.327171756,55737019.615683911
3705040,(2015 BA93),21.07,0.1623883902,0.3631114793,2024-01-26,12.5110355755,28613286.999857209
