id,name,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,close_approach_date,velocity_km_s,miss_distance_km
3147312,(2003 BN1),20.59,0.2025606009,0.4529392731,2024-01-13,32.0921477759,23819476.10863468
3728898,(2015 TF),22.14,0.0992098919,0.2218400624,2024-01-13,16.7006802273,64038916.311062151
3781591,(2017 SM2),27.3,0.0092162655,0.0206081961,2024-01-13,7.65680023,13571308.28219691
3790060,(2017 WP28),20.92,0.1740022951,0.38908096,2024-01-13,43.9666290837,74052823.148147861
3825489,(2018 MG7),21.39,0.1401376972,0.3133574171,2024-01-13,17.973791974,42767600.755762702
3826624,(2018 PW7),24.39,0.035200998,0.0787118244,2024-01-13,17.7057651733,37766467.696668576
3986679,(2020 AK3),26.13,0.0157962856,0.0353215683,2024-01-13,17.5698785425,59593026.74191647
3986764,(2020 BM1),25.6,0.0201629919,0.0450858206,2024-01-13,17.2233126305,35392214.023937504
54101343,(2020 YG1),27.1,0.0101054342,0.0225964377,2024-01-13,17.0942400677,62113380.177814184
54194973,(2021 RL7),28.27,0.0058959661,0.013183781,2024-01-13,7.6279487968,12143688.658008724
54216277,(2021 VB2),28.34,0.0057089334,0.0127655632,2024-01-13,7.4472548946,11668026.657205457
54378334,(2023 QS4),26.58,0.012839703,0.0287104486,2024-01-13,4.6750742181,18979408.299386043
54419486,(2024 AR1),26.05,0.0163890951,0.0366471308,2024-01-13,4.5305212573,3835831.774052666
54419701,(2024 AW2),26.32,0.0144728805,0.0323623447,2024-01-13,6.743647059,4189545.809891867
54420151,(2024 AP3),24.36,0.0356906927,0.079806815,2024-01-13,15.0697113704,12618115.53391791
54420441,(2024 AD4),24.81,0.0290104841,0.0648694146,2024-01-13,13.1227115124,8339548.758881735
54421380,(2024 BV),27.43,0.0086807046,0.0194106455,2024-01-13,18.5058921612,2160514.72862263
54421910,(2024 BY1),25.71,0.0191670368,0.0428587972,2024-01-13,13.3564200951,3047049.149354272
3266506,(2005 BH14),21.44,0.1369477737,0.3062245314,2024-01-12,17.4495318432,48698372.004509653
3787093,(2017 UN1),24.75,0.0298232505,0.0666868155,2024-01-12,13.0426814168,10739110.531591761
3797456,(2018 AN2),24.8,0.0291443905,0.0651688382,2024-01-12,11.4163377737,21355510.119162882
54240512,(2022 BS4),25.42,0.0219055911,0.0489823908,2024-01-12,20.7565968087,59741004.227627778
54419014,(2024 AP),22.09,0.1015207872,0.2270073813,2024-01-12,20.2675148764,13269037.019426728
54419484,(2024 AP1),25.28,0.0233644185,0.052244428,2024-01-12,5.3689614427,16901608.073140214
54419695,(2024 AR2),26.42,0.0138214936,0.0309057992,2024-01-12,19.1948560058,1267189.536979143
54420156,(2024 AW3),21.76,0.1181829909,0.2642652014,2024-01-12,20.8701158538,19419727.264849478
54421916,(2024 BF2),25.68,0.0194336768,0.0434550225,2024-01-12,7.5410216162,11219167.972132007
2430804,430804 (2005 AD13),17.89,0.7023522477,1.57050737,2024-01-14,29.0073806068,20388991.117825347
2456946,456946 (2008 AF32),21.26,0.1487835705,0.3326901775,2024-01-14,15.4778830685,38618402.822830878
3591722,(2011 YJ28),21.32,0.1447288051,0.3236234466,2024-01-14,14.2395096415,20141228.786067704
3655395,(2013 YM2),25.7,0.0192555078,0.0430566244,2024-01-14,9.8596336581,28231576.500556432
3741440,(2016 CL18),23.93,0.0435065831,0.0972836774,2024-01-14,14.6687669813,13597914.457853641
3831897,(2018 UM1),23.64,0.0497227313,0.1111834072,2024-01-14,6.6929907938,51695393.471926597
3836709,(2018 XC),25.7,0.0192555078,0.0430566244,2024-01-14,12.7104710087,47704272.870582752
3840783,(2019 GE1),27.0,0.0105816886,0.023661375,2024-01-14,5.8690665704,33397350.737141379
3869336,(2019 SF6),26.26,0.014878357,0.0332690178,2024-01-14,6.4990046832,55358538.859597499
54145781,(2021 KB),26.02,0.0166170902,0.0371569432,2024-01-14,18.1726671553,27918436.817892667
54312818,(2022 SL49),22.86,0.0712122941,0.1592355304,2024-01-14,12.2682294818,58705504.780765597
54354331,(2023 GM1),27.26,0.0093876087,0.0209913311,2024-01-14,6.5119450202,42861185.787363053
54407117,(2023 WT1),22.42,0.0872077289,0.19500241,2024-01-14,10.0020439259,19684446.335654177
54419125,(2024 AY),24.38,0.0353634784,0.0790751417,2024-01-14,3.0513785038,25913941.328161491
54419810,(2024 AF3),26.96,0.0107784169,0.0241012728,2024-01-14,6.7371196513,3363542.412349188
54419811,(2024 AG3),27.67,0.007772397,0.0173796081,2024-01-14,9.7945457908,1698374.116339526
54420280,(2024 AZ3),28.78,0.0046618144,0.0104241338,2024-01-14,10.0188698314,248883.478034571
54420784,(2024 AQ4),25.76,0.0187307418,0.0418832119,2024-01-14,9.7942646898,1245350.80608272
54421067,(2024 BE),24.04,0.0413575665,0.0924783301,2024-01-14,11.365264868,10624155.653698928
54421076,(2024 BK),24.71,0.0303777061,0.0679266159,2024-01-14,15.4591652716,3310172.579357977
54421642,(2024 BO1),25.2,0.0242412481,0.0542050786,2024-01-14,15.6349900254,21310976.164684925
54421649,(2024 BV1),27.21,0.0096062741,0.021480282,2024-01-14,11.5483679096,3174463.330729416
54422165,(2024 BV2),27.67,0.007772397,0.0173796081,2024-01-14,5.310223291,3877364.06222886
54425754,(2024 CT1),22.35,0.0900647767,0.2013909631,2024-01-14,12.1032984097,26565413.483429779
2168318,168318 (1989 DA),18.91,0.439091446,0.9818383215,2024-01-08,8.8851478203,17607387.097578032
3102728,(2002 AY1),20.85,0.1797028549,0.4018277992,2024-01-08,17.3391710732,5803011.720688912
3553148,(2010 XB11),19.73,0.3009920165,0.6730386097,2024-01-08,23.0496832506,38275992.746123978
3599868,(2012 DN31),24.0,0.0421264611,0.0941976306,2024-01-08,20.2701167347,65568666.23654168
3781448,(2017 RJ15),21.85,0.1133848361,0.2535362011,2024-01-08,11.8586254221,43416265.078689386
3798020,(2018 BW5),22.07,0.1024601475,0.2291078547,2024-01-08,0.5304383801,55417734.736756499
3825490,(2018 MH7),26.1,0.0160160338,0.0358129403,2024-01-08,8.303806334,37444684.278995785
3836410,(2018 WA2),22.59,0.0806408277,0.1803183724,2024-01-08,9.5541519137,12430132.615730776
3873324,(2019 TY),22.83,0.0722029558,0.1614507173,2024-01-08,17.7873971073,43448783.64640447
54232321,(2022 AB),23.6,0.0506471459,0.1132504611,2024-01-08,20.0717047393,73783136.665110025
54239839,(2022 BG1),25.64,0.0197949759,0.0442629117,2024-01-08,13.7148876409,56116108.472152086
54293876,(2020 AQ24),24.98,0.0268259417,0.0599846292,2024-01-08,18.7929519283,38631012.606810622
54336963,(2022 YD6),24.18,0.038775283,0.0867041687,2024-01-08,15.9068705545,33735239.56230263
54399994,(2023 UO9),22.31,0.0917392059,0.2051351006,2024-01-08,4.7821343801,10059756.983543501
54407114,(2023 WS1),21.91,0.1102947845,0.2466266358,2024-01-08,4.028213085,31370938.815380102
54419604,(2024 AD2),26.43,0.0137579896,0.0307638,2024-01-08,7.2696639354,4831184.612929102
54419807,(2024 AC3),25.25,0.0236894499,0.0529712204,2024-01-08,21.5014106722,1562543.065125211
54420157,(2024 AX3),27.67,0.007772397,0.0173796081,2024-01-08,5.5102201908,1844629.177055015
54421395,(2024 BM1),26.04,0.0164647438,0.0368162863,2024-01-08,7.3092559912,5458303.012870314
