id,name,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,close_approach_date,velocity_km_s,miss_distance_km
3160748,(2003 SW130),29.1,0.0040230458,0.0089958039,2024-03-02,8.567219024,44588301.618873134
3289172,(2005 QP87),27.7,0.0076657557,0.0171411509,2024-03-02,7.5571273935,68318391.92307815
3556127,(2011 BQ50),28.0,0.0066765941,0.0149293183,2024-03-02,7.2208523714,19891298.481978021
3674864,(2014 OG1),21.72,0.1203801767,0.2691782583,2024-03-02,19.594014648,44993883.360531089
3693428,(2014 UR),26.6,0.0127219879,0.0284472297,2024-03-02,12.9821296472,58287164.913880006
54117581,(2021 CM7),21.1,0.160160338,0.358129403,2024-03-02,25.6944034432,58771946.385878686
54184281,(2021 PC7),19.39,0.3520099801,0.7871182442,2024-03-02,25.7725827614,62397124.253017624
54200470,(2021 SD3),25.12,0.0251509837,0.0562393094,2024-03-02,5.1986085747,19057715.693392005
54426894,(2024 CX6),23.67,0.0490405098,0.1096579137,2024-03-02,16.718871612,11773120.19310576
54427300,(2024 DF),24.36,0.0356906927,0.079806815,2024-03-02,10.6437549055,8631646.094910022
54429482,(2024 ER),21.4,0.1394938229,0.3119176705,2024-03-02,12.6923610705,8787370.296882262
54429483,(2024 ES),25.05,0.0259749653,0.0580817882,2024-03-02,6.1543919387,13689243.403976522
54429992,(2024 EW1),26.77,0.0117639989,0.0263051013,2024-03-02,4.1191552151,8089651.964714932
