id,name,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,close_approach_date,velocity_km_s,miss_distance_km
3740038,(2016 AE165),21.73,0.1198270801,0.2679414966,2024-02-14,8.2125143599,32166426.386692322
3740956,(2016 BA39),21.29,0.1467421834,0.3281254972,2024-02-14,18.0298922664,59700074.19055663
3773927,(2017 FU158),18.87,0.4472547654,1.0000920588,2024-02-14,13.0290615456,55116038.483319236
3799303,(2018 CY2),22.45,0.086011194,0.1923268766,2024-02-14,15.2058158472,8407156.763627427
54128184,(2021 EA),28.11,0.0063468024,0.0141918816,2024-02-14,17.1321198165,40622102.541652376
54177988,(2021 PK1),25.95,0.0171614894,0.0383742569,2024-02-14,8.8830239757,53117352.552070575
54246616,(2022 CK6),26.58,0.012839703,0.0287104486,2024-02-14,12.0714617745,23009424.795723498
54389194,(2023 SG7),23.65,0.0494942761,0.1106725658,2024-02-14,13.5976545679,73119184.74137081
54390629,(2023 TC),26.49,0.0133830462,0.029925401,2024-02-14,6.1882407861,34745208.920906564
54423312,(2024 BR4),21.39,0.1401376972,0.3133574171,2024-02-14,12.463624936,4600323.923322994
54423948,(2024 CD1),26.43,0.0137579896,0.0307638,2024-02-14,12.2986502543,3781125.0596962
54424573,(2024 CL1),25.82,0.0182202771,0.0407417781,2024-02-14,14.2543551029,1293290.251352718
54425755,(2024 CU1),26.72,0.0120380177,0.0269178258,2024-02-14,10.8111054804,584946.640709916
54426462,(2024 CK3),24.74,0.0299609084,0.0669946278,2024-02-14,7.7779221336,6720948.185432893
54426890,(2024 CR6),27.95,0.006832112,0.0152770668,2024-02-14,21.8566624725,420087.229846339
54427458,(2024 DJ),25.15,0.0248058993,0.0554676771,2024-02-14,18.7670355697,8715353.358671717
54427948,(2024 DC1),26.72,0.0120380177,0.0269178258,2024-02-14,6.9710123685,6562338.135829844
54429271,(2024 DX1),22.51,0.0836671502,0.1870854353,2024-02-14,12.4166419728,44899122.459752964
54431586,(2024 FR1),21.7,0.1214940408,0.2716689341,2024-02-14,14.6948533648,15860722.998239524
2505093,505093 (2011 VQ5),20.2,0.2424124811,0.5420507863,2024-02-13,2.4104282616,53716483.045548375
3063823,(2000 WP19),22.7,0.0766575574,0.1714115092,2024-02-13,10.7760890124,23666921.795769018
3384028,(2007 RX8),24.53,0.0330031183,0.0737972161,2024-02-13,6.9922696305,48762731.985181266
3451019,(2009 EF3),21.57,0.1289896833,0.2884297004,2024-02-13,11.7484951148,29762717.656307387
3713947,(2015 FB34),23.9,0.04411182,0.0986370281,2024-02-13,16.6676906051,57278519.062591749
3796304,(2017 YV8),27.3,0.0092162655,0.0206081961,2024-02-13,6.047397932,21967364.689393106
3797909,(2018 BO5),26.3,0.0146067964,0.0326617897,2024-02-13,8.9761518628,58657252.331872198
3879296,(2019 UO2),25.8,0.0183888672,0.0411187571,2024-02-13,14.181490697,55386732.822167049
3989097,(2020 BR5),25.5,0.0211132445,0.0472106499,2024-02-13,15.4440917641,62878561.045758418
54016307,(2020 FW2),24.1,0.040230458,0.0899580388,2024-02-13,16.4999040851,39099162.116738016
54184277,(2021 PQ6),22.95,0.0683211199,0.1527706684,2024-02-13,10.2695012599,42394180.626342224
2612197,612197 (2000 WP19),22.93,0.0689532874,0.154184238,2024-02-13,10.7760869275,23666922.394160498
54336908,(2022 YL5),24.19,0.0385971268,0.0863057993,2024-02-13,6.2413299038,34549951.133100265
54419022,(2024 AX),22.87,0.0708851033,0.1585039096,2024-02-13,8.8741142756,15069548.572875996
54419492,(2024 AX1),23.86,0.04493192,0.1004708274,2024-02-13,5.2956291619,15174038.930164459
54423686,(2024 AZ10),22.54,0.0825191939,0.1845185269,2024-02-13,20.6715592774,12309847.28149389
54423947,(2024 CB1),24.15,0.039314701,0.0879103439,2024-02-13,17.5483522014,1465152.5629078
54426075,(2024 CM2),24.13,0.0396784754,0.0887237683,2024-02-13,11.1749473459,23215011.70310203
54426470,(2024 CD4),26.64,0.0124897854,0.0279280092,2024-02-13,6.389695006,1666618.25840485
