id,name,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,close_approach_date,velocity_km_s,miss_distance_km
3422140,(2008 OS7),20.37,0.2241583786,0.5012333723,2024-02-02,18.1668475019,2854115.543975867
3655738,(2013 YW102),23.6,0.0506471459,0.1132504611,2024-02-02,10.5309803393,44251200.321778924
3738932,(2015 YQ1),28.0,0.0066765941,0.0149293183,2024-02-02,8.1804515947,41747982.57390036
3760540,(2016 TD18),23.56,0.0515887466,0.1153559443,2024-02-02,12.2995469516,30185483.181699697
3789224,(2017 VT12),20.4,0.2210828104,0.4943561926,2024-02-02,11.984125665,41198419.704030277
3837789,(2019 AB9),24.5,0.0334622374,0.0748238376,2024-02-02,7.3956039036,25319631.192210618
3838850,(2019 DX),27.06,0.0102933082,0.0230165369,2024-02-02,27.2819221949,73985610.455773644
2585185,585185 (2017 VT12),20.43,0.2180494405,0.4875733714,2024-02-02,11.98412627,41198422.157435345
54190077,(2021 QL1),24.04,0.0413575665,0.0924783301,2024-02-02,12.3600677875,34915066.994998321
54200435,(2021 SA2),26.21,0.0152249185,0.0340439527,2024-02-02,15.842627686,36855686.258690103
54234943,(2022 AD),24.33,0.0361871997,0.0809170384,2024-02-02,8.9647904605,32511479.977440418
54279935,(2022 KH1),25.5,0.0211132445,0.0472106499,2024-02-02,7.7418557969,53349766.53132068
54421643,(2024 BP1),24.77,0.0295498293,0.0660754271,2024-02-02,7.2065031912,3424380.21589016
54423041,(2024 BH3),24.86,0.0283501249,0.0633928065,2024-02-02,7.2778919635,9667724.066655067
54423042,(2024 BJ3),26.02,0.0166170902,0.0371569432,2024-02-02,17.7452411405,858071.032398222
54423050,(2024 BO3),26.73,0.011982708,0.0267941497,2024-02-02,12.1280546063,5158343.530864603
54423825,(2024 CP),25.14,0.0249203981,0.0557237043,2024-02-02,3.7756193665,13122292.160325072
54423945,(2024 CA1),24.14,0.0394961694,0.0883161196,2024-02-02,9.9565915078,15387798.593577896
54426237,(2024 CD3),26.04,0.0164647438,0.0368162863,2024-02-02,8.6086529,5649716.180296974
54427186,(2024 CO8),26.53,0.0131387781,0.0293792009,2024-02-02,10.5198913756,6136379.204545792
2152742,152742 (1998 XE12),19.1,0.4023045798,0.8995803882,2024-01-28,24.9483490763,17412222.045491346
2175706,175706 (1996 FG3),18.32,0.5761757511,1.2883681464,2024-01-28,9.8520250044,63027270.99256082
2476904,476904 (2008 WK32),19.11,0.4004561582,0.8954471917,2024-01-28,13.7949666467,44267980.699897037
3596682,(2012 BL77),23.3,0.058150704,0.130028927,2024-01-28,30.0106991669,63116189.034370568
3769438,(2017 BG136),25.98,0.0169260249,0.0378477424,2024-01-28,18.7942850788,57501280.134561595
54240420,(2022 BM4),20.65,0.1970402621,0.4405954204,2024-01-28,28.3992982417,51319498.694540579
54305658,(2022 SR4),25.69,0.0193443872,0.0432553648,2024-01-28,9.2291014022,40961834.292893731
54341646,(2023 DA),26.42,0.0138214936,0.0309057992,2024-01-28,3.9579286121,21642004.805522651
54382906,(2023 RO9),25.88,0.0177237239,0.0396314515,2024-01-28,9.4975922038,58396506.131701089
54403793,(2023 VV3),22.28,0.0930154254,0.2079888141,2024-01-28,12.1113836563,23258289.948018994
54419015,(2024 AQ),21.11,0.1594244681,0.3564839479,2024-01-28,14.4969302508,17013127.316270201
54420626,(2024 AP4),20.88,0.1772372393,0.3963145151,2024-01-28,22.6056159757,17923864.189043201
54420789,(2024 AU4),23.14,0.06259721,0.1399716167,2024-01-28,17.4216401421,6306071.643875885
54423047,(2024 BP3),27.5,0.008405334,0.0187948982,2024-01-28,13.6734117113,708455.016176591
54423829,(2024 CR),26.93,0.0109283596,0.0244365549,2024-01-28,10.2374501212,2599481.568697857
54425948,(2024 CW1),26.65,0.0124324001,0.0277996916,2024-01-28,8.3241367507,6522980.866045367
54426080,(2024 CU2),23.34,0.057089334,0.1276556316,2024-01-28,12.4568550242,25022901.498298633
54426239,(2024 CE3),25.09,0.0255008688,0.0570216761,2024-01-28,6.6391587324,12842913.470646528
54426477,(2024 CO4),26.57,0.0128989683,0.02884297,2024-01-28,11.4726689198,2994074.80825198
54427938,(2024 BW17),23.55,0.0518268695,0.1158884032,2024-01-28,13.5442197992,22106449.972993105
2267720,267720 (2003 CA),18.93,0.4350658314,0.9728367737,2024-01-29,32.6242547648,35295191.652158589
3560816,(2011 FR29),21.54,0.1307841086,0.2924421572,2024-01-29,9.3384442533,10609397.838783215
3596496,(2012 BA62),26.65,0.0124324001,0.0277996916,2024-01-29,7.6066341103,11040846.593022231
3692561,(2014 TV),24.4,0.0350392641,0.0783501764,2024-01-29,13.0828825346,50471020.356279941
3702706,(2014 YS),24.5,0.0334622374,0.0748238376,2024-01-29,10.9549634143,10792518.706517053
3765007,(2016 WP48),23.25,0.0595052079,0.1330576898,2024-01-29,15.5098350191,61601533.504054465
3768024,(2017 CQ),20.94,0.1724070324,0.3855138443,2024-01-29,31.2761209736,60897957.996402599
3799273,(2018 CB2),25.0,0.02658,0.0594346868,2024-01-29,27.0445133478,64721360.281828445
3893405,(2019 WT1),26.8,0.0116025908,0.0259441818,2024-01-29,16.8335933463,53668079.203610536
54110059,(2021 CX),28.0,0.0066765941,0.0149293183,2024-01-29,19.3598551844,51389428.802303772
54236939,(2022 AT6),23.23,0.0600558028,0.1342888574,2024-01-29,32.1572839695,65327438.100389045
54240514,(2022 BU4),27.2,0.0096506147,0.0215794305,2024-01-29,15.6313860532,33569692.554749172
54360101,(2023 KJ4),26.98,0.0106795998,0.023880311,2024-01-29,9.2479851394,48479811.416332602
54373437,(2023 MC),25.65,0.0197040262,0.044059542,2024-01-29,17.4872002796,66187528.704032267
54380194,(2023 RS),32.32,0.000913177,0.0020419259,2024-01-29,7.08526288,67278439.89009265
54423512,(2024 BC6),28.09,0.0064055286,0.0143231974,2024-01-29,12.1301248501,815531.232487152
54427935,(2024 DR),22.86,0.0712122941,0.1592355304,2024-01-29,15.0376898931,23504349.018267965
2667303,667303 (2011 FR29),21.55,0.1301832102,0.2910985075,2024-01-29,9.33844426,10609397.898622363
3309091,(2005 YO3),25.1,0.0253837029,0.0567596853,2024-01-31,22.9567735451,69008383.585099128
3402610,(2008 CH116),19.27,0.3720103103,0.8318403423,2024-01-31,25.1553623685,50145460.400218148
3726669,(2015 QK9),25.02,0.0263363131,0.0588897864,2024-01-31,16.2060808696,66964320.984651226
3748362,(2016 FC12),24.72,0.0302381333,0.0676145215,2024-01-31,8.2243586129,35974579.308521209
3781697,(2017 ST10),28.4,0.0055533491,0.0124176661,2024-01-31,23.7011768054,70648517.754668954
54051374,(2020 QZ4),25.5,0.0211132445,0.0472106499,2024-01-31,6.506304008,62781279.301192497
2613939,613939 (2008 CH116),19.25,0.3754524794,0.8395372662,2024-01-31,25.1553533039,50145406.844180688
54291601,(2022 OT1),25.25,0.0236894499,0.0529712204,2024-01-31,4.9382235106,10399885.184100143
54340712,(2023 BW9),21.68,0.1226182113,0.2741826558,2024-01-31,26.5748436621,40066422.644797567
54407411,(2023 WX1),20.92,0.1740022951,0.38908096,2024-01-31,12.2490432893,36890271.087145414
54418647,(2023 QR105),19.57,0.3240074354,0.7245026508,2024-01-31,18.8300503431,45787521.767532026
54419491,(2024 AW1),24.44,0.0343997255,0.0769201245,2024-01-31,4.3293634282,18148716.055803954
54421911,(2024 BZ1),23.69,0.0485909037,0.1086525639,2024-01-31,18.2927793923,23731915.951731135
54423048,(2024 BR3),25.2,0.0242412481,0.0542050786,2024-01-31,11.2862819388,4368848.536069056
54423510,(2024 BA6),20.74,0.1890405519,0.4227075246,2024-01-31,17.8193267989,43243173.925350763
54423785,(2024 CK),25.31,0.0230438467,0.0515276076,2024-01-31,7.7235850306,2335149.717019866
54423828,(2024 BS6),25.59,0.0202560601,0.0452939273,2024-01-31,11.9365039442,1911877.473722292
