absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,date,velocity_km_s,miss_distance_km,year_discovered,name_neo,classType_FLR,halfAngle_CME,speed_CME,type_CME,TEMP,SLP,WDSP,MXSPD,GUST,MAX,MIN
24.05,41.167545700000005,92.05343069999999,2024-01-02,11325.9084311,21691678389.30169,2023,XZ4,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
24.05,41.167545700000005,92.05343069999999,2024-01-02,11325.9084311,21691678389.30169,2023,XZ4,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
24.05,41.167545700000005,92.05343069999999,2024-01-02,11325.9084311,21691678389.30169,2023,XZ4,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
24.9,27.8326768,62.2357573,2024-01-02,12219.5715368,1729961781.388961,2023,YR,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
24.9,27.8326768,62.2357573,2024-01-02,12219.5715368,1729961781.388961,2023,YR,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
24.9,27.8326768,62.2357573,2024-01-02,12219.5715368,1729961781.388961,2023,YR,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
27.41,8.761026099999999,19.59025,2024-01-02,21432.1092699,610571843.293909,2024,AA,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
27.41,8.761026099999999,19.59025,2024-01-02,21432.1092699,610571843.293909,2024,AA,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
27.41,8.761026099999999,19.59025,2024-01-02,21432.1092699,610571843.293909,2024,AA,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
26.38,14.078454299999999,31.4803809,2024-01-02,8831.4719331,17553928179.055237,2022,OY78,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
26.38,14.078454299999999,31.4803809,2024-01-02,8831.4719331,17553928179.055237,2022,OY78,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
26.38,14.078454299999999,31.4803809,2024-01-02,8831.4719331,17553928179.055237,2022,OY78,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
23.72,47.9242116,107.1617948,2024-01-02,15469.545140999999,6556678638.970726,2024,AQ1,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
23.72,47.9242116,107.1617948,2024-01-02,15469.545140999999,6556678638.970726,2024,AQ1,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
23.72,47.9242116,107.1617948,2024-01-02,15469.545140999999,6556678638.970726,2024,AQ1,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
20.54,207.2788434,463.4895841,2024-01-02,16000.245466999999,28794164527.8521,2024,AA2,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
20.54,207.2788434,463.4895841,2024-01-02,16000.245466999999,28794164527.8521,2024,AA2,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
20.54,207.2788434,463.4895841,2024-01-02,16000.245466999999,28794164527.8521,2024,AA2,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
23.6,50.647145900000005,113.25046110000001,2024-01-02,13043.3070531,7878470456.033288,2024,AR3,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
23.6,50.647145900000005,113.25046110000001,2024-01-02,13043.3070531,7878470456.033288,2024,AR3,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
23.6,50.647145900000005,113.25046110000001,2024-01-02,13043.3070531,7878470456.033288,2024,AR3,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
24.49,33.616692099999995,75.1692087,2024-01-02,5851.6481506,36368802562.623245,2024,BK1,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
24.49,33.616692099999995,75.1692087,2024-01-02,5851.6481506,36368802562.623245,2024,BK1,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
24.49,33.616692099999995,75.1692087,2024-01-02,5851.6481506,36368802562.623245,2024,BK1,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
20.06,258.55621210000004,578.1492661999999,2024-01-02,11022.793934199999,24597309769.946285,2012,SD22,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
20.06,258.55621210000004,578.1492661999999,2024-01-02,11022.793934199999,24597309769.946285,2012,SD22,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
20.06,258.55621210000004,578.1492661999999,2024-01-02,11022.793934199999,24597309769.946285,2012,SD22,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
26.41,13.8852907,31.0484539,2024-01-02,6280.9825165,35127451539.83093,2024,KY,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
26.41,13.8852907,31.0484539,2024-01-02,6280.9825165,35127451539.83093,2024,KY,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
26.41,13.8852907,31.0484539,2024-01-02,6280.9825165,35127451539.83093,2024,KY,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
26.2,15.2951935,34.2010925,2024-01-02,4985.1096001000005,16030952329.365261,2024,KJ1,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
26.2,15.2951935,34.2010925,2024-01-02,4985.1096001000005,16030952329.365261,2024,KJ1,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
26.2,15.2951935,34.2010925,2024-01-02,4985.1096001000005,16030952329.365261,2024,KJ1,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
18.83,455.56985230000004,1018.6851583,2024-01-04,23717.8883208,37629939100.50602,2004,LV3,M1.1,45.0,732000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
18.83,455.56985230000004,1018.6851583,2024-01-04,23717.8883208,37629939100.50602,2004,LV3,M1.1,22.0,893000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
18.83,455.56985230000004,1018.6851583,2024-01-04,23717.8883208,37629939100.50602,2004,LV3,M1.1,40.0,364000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
18.83,455.56985230000004,1018.6851583,2024-01-04,23717.8883208,37629939100.50602,2004,LV3,M1.1,10.0,384000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
18.83,455.56985230000004,1018.6851583,2024-01-04,23717.8883208,37629939100.50602,2004,LV3,M3.8,45.0,732000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
18.83,455.56985230000004,1018.6851583,2024-01-04,23717.8883208,37629939100.50602,2004,LV3,M3.8,22.0,893000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
18.83,455.56985230000004,1018.6851583,2024-01-04,23717.8883208,37629939100.50602,2004,LV3,M3.8,40.0,364000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
18.83,455.56985230000004,1018.6851583,2024-01-04,23717.8883208,37629939100.50602,2004,LV3,M3.8,10.0,384000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
22.14,99.2098919,221.84006240000002,2024-01-04,18412.2352237,48751391898.16336,2010,PJ,M1.1,45.0,732000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
22.14,99.2098919,221.84006240000002,2024-01-04,18412.2352237,48751391898.16336,2010,PJ,M1.1,22.0,893000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
22.14,99.2098919,221.84006240000002,2024-01-04,18412.2352237,48751391898.16336,2010,PJ,M1.1,40.0,364000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
22.14,99.2098919,221.84006240000002,2024-01-04,18412.2352237,48751391898.16336,2010,PJ,M1.1,10.0,384000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
22.14,99.2098919,221.84006240000002,2024-01-04,18412.2352237,48751391898.16336,2010,PJ,M3.8,45.0,732000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
22.14,99.2098919,221.84006240000002,2024-01-04,18412.2352237,48751391898.16336,2010,PJ,M3.8,22.0,893000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
22.14,99.2098919,221.84006240000002,2024-01-04,18412.2352237,48751391898.16336,2010,PJ,M3.8,40.0,364000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
22.14,99.2098919,221.84006240000002,2024-01-04,18412.2352237,48751391898.16336,2010,PJ,M3.8,10.0,384000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
27.6,8.0270317,17.9489885,2024-01-04,17123.8660723,24656351157.384933,2016,SU2,M1.1,45.0,732000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
